10000,from,to,weight
0,9242,558,21.53
1,1689,8433,13.79
2,5874,2318,14.8
3,15,2428,0.84
4,6801,504,4.83
5,1728,8754,4.82
6,9054,8463,1.55
7,8036,6442,4.26
8,4355,8802,2.3
9,2217,1024,12.29
10,6871,7813,11.14
11,270,3135,6.81
12,5404,777,0.62
13,1500,6539,2.89
14,8146,7285,3.31
15,6458,2338,3.34
16,4121,8287,7.3
17,750,4179,3.93
18,458,8011,1.55
19,8940,652,4.26
20,2325,1063,6.49
21,2441,6308,6.15
22,2783,5082,9.63
23,619,341,6.67
24,3615,6640,0.92
25,5189,8298,4.07
26,9318,1183,11.77
27,9361,3677,3.7
28,7027,6839,8.12
29,8441,8856,1.41
30,6299,4511,7.7
31,5082,1231,6.21
32,7521,3483,1.32
33,6424,623,4.08
34,1661,2125,7.15
35,2094,61,7.89
36,7483,7110,3.73
37,7283,7304,1.87
38,7476,4835,0.65
39,830,6189,10.77
40,4290,6449,7.94
41,7173,5866,5.45
42,8473,4051,8.1
43,2219,1290,12.15
44,3516,2611,11.57
45,5395,661,4.51
46,6775,1378,18.04
47,6317,4933,19.38
48,4070,5189,20.99
49,7931,8665,9.34
50,2944,5430,7.26
51,9115,5144,2.4
52,6840,4876,25.74
53,1527,3495,3.66
54,7385,2107,10.19
55,7969,2079,7.75
56,4596,938,15.27
57,7837,8235,1.84
58,620,4785,11.01
59,6978,3042,8.84
60,5433,4061,2.85
61,3578,6144,1.0
62,3216,596,2.03
63,3923,7459,1.97
64,2447,6963,2.42
65,665,4284,2.95
66,7493,8399,22.9
67,870,3505,5.15
68,8530,9581,6.0
69,9178,6867,5.34
70,2165,171,2.26
71,824,7591,7.31
72,6163,6585,15.9
73,8365,3362,12.72
74,2703,7012,7.49
75,3552,6771,4.27
76,9616,4752,15.08
77,411,317,12.65
78,693,8355,20.99
79,8771,7945,4.39
80,4999,2854,7.35
81,4849,280,0.58
82,684,9887,5.16
83,5026,7020,13.65
84,2485,8046,4.98
85,4946,9730,13.6
86,1304,5557,2.3
87,328,6132,7.91
88,896,3832,5.9
89,6385,7086,0.52
90,5773,7430,1.76
91,1433,3186,23.43
92,2633,9667,3.19
93,3343,5207,0.56
94,2957,6951,6.32
95,8500,2328,0.66
96,4791,894,9.24
97,9401,5183,8.59
98,5149,6627,4.23
99,1660,8384,16.54
100,8572,1801,10.99
101,6243,1529,9.6
102,5765,2903,3.33
103,5889,458,10.16
104,2631,1116,1.85
105,486,7510,0.22
106,6282,7442,8.32
107,6544,788,18.33
108,7046,8579,6.54
109,4065,613,4.91
110,7879,6130,7.02
111,225,566,11.88
112,8809,7890,23.11
113,4195,8306,7.39
114,4696,6088,14.38
115,7851,7014,13.28
116,4699,3113,12.31
117,1460,1955,4.37
118,6221,9893,0.11
119,9868,5795,7.25
120,8179,1422,9.39
121,1879,9088,1.52
122,6123,3920,0.01
123,6596,5701,3.88
124,3258,7954,18.54
125,2233,5394,9.22
126,4972,6018,4.76
127,4615,2311,3.05
128,9163,1344,3.89
129,4529,9612,4.09
130,5743,6516,8.48
131,7125,5567,10.35
132,9374,5252,8.12
133,6462,3196,6.29
134,8051,4753,3.16
135,4841,4488,11.39
136,3772,1230,9.05
137,985,2796,3.87
138,1036,2231,8.98
139,386,7468,3.75
140,4972,2605,0.71
141,1967,8704,3.87
142,5644,7881,4.71
143,800,1230,6.46
144,7276,3961,12.39
145,8101,6382,14.14
146,8697,8148,13.17
147,89,4012,18.63
148,5518,6591,1.58
149,5549,6006,3.03
150,6959,2316,4.22
151,9522,8602,18.6
152,4113,710,7.02
153,9080,4797,7.01
154,3670,7752,8.84
155,9951,6393,11.22
156,2153,3807,5.64
157,5060,6006,11.18
158,2367,7630,2.48
159,2356,899,13.4
160,4277,4279,4.8
161,4886,4189,6.49
162,8199,8393,9.67
163,3861,1427,12.31
164,1307,1991,22.35
165,9278,852,0.07
166,2343,1127,5.33
167,2521,3027,5.19
168,6498,264,10.74
169,2724,6174,16.39
170,17,6945,9.67
171,2231,2993,11.51
172,9219,8546,12.71
173,537,2688,18.47
174,6651,8555,13.45
175,2509,8921,2.34
176,2846,6013,16.75
177,3335,786,6.92
178,5958,1540,2.77
179,8439,3260,6.51
180,1738,4105,8.27
181,528,3746,2.5
182,5767,7377,5.83
183,9370,8090,3.17
184,8349,1448,9.3
185,7793,9962,4.42
186,7576,4179,6.52
187,3027,5891,3.14
188,7120,3595,7.34
189,9829,1037,6.95
190,3605,5677,9.65
191,6524,3714,3.88
192,6848,4456,3.94
193,2831,7389,4.25
194,4434,0,1.77
195,4275,4746,5.72
196,5058,2043,10.92
197,9863,4527,0.66
198,3187,4728,14.24
199,3897,6671,2.35
200,1713,7776,6.83
201,554,8048,4.51
202,6506,8169,6.51
203,3066,5642,0.63
204,3885,9399,12.73
205,5264,487,7.53
206,2533,3309,9.27
207,3316,2054,6.94
208,2786,9794,0.27
209,4058,4217,15.22
210,8359,6795,10.58
211,894,8151,4.82
212,8758,6428,6.21
213,9828,5469,2.34
214,9823,2323,14.11
215,3717,2915,10.53
216,9422,7643,1.95
217,6590,103,4.69
218,6827,9688,7.99
219,7814,3149,12.93
220,5211,5106,5.87
221,2672,2335,16.58
222,213,5849,6.03
223,4270,2159,5.91
224,2239,8067,9.06
225,5514,4818,2.26
226,4384,5231,7.91
227,3201,8699,18.03
228,8546,9141,14.25
229,2199,1457,2.72
230,8754,9783,22.36
231,9897,6364,10.7
232,7723,3220,8.66
233,1314,9076,2.24
234,8821,9644,10.26
235,5552,1612,4.22
236,4034,9230,7.32
237,9297,2297,7.94
238,1210,8694,4.6
239,7172,3441,6.66
240,8170,4381,26.96
241,5833,1189,0.21
242,6134,5567,2.73
243,5392,6971,15.82
244,949,8491,2.23
245,1608,9365,1.86
246,1910,5600,3.11
247,3829,7158,8.03
248,4502,7649,9.27
249,3184,6575,0.96
250,1169,7069,5.7
251,4039,7210,8.34
252,1277,8493,2.48
253,4576,9253,4.82
254,1651,9105,16.13
255,5401,80,9.14
256,9059,9,5.85
257,9406,1767,7.73
258,4978,3349,12.31
259,2698,2582,6.21
260,9135,5532,1.13
261,2728,7040,0.04
262,2074,6609,0.63
263,3476,9186,5.61
264,2696,9318,6.78
265,9019,8101,1.77
266,7958,6078,0.66
267,3380,2280,13.9
268,1347,5758,5.21
269,9891,9336,15.83
270,7133,9592,3.24
271,5671,612,2.37
272,9505,1501,4.05
273,3163,5647,1.14
274,440,8724,1.39
275,5057,293,4.38
276,3666,4153,3.98
277,3937,141,0.11
278,4310,3586,13.13
279,4070,1120,1.16
280,4424,3823,3.97
281,417,1725,5.64
282,4791,2029,15.62
283,6481,9204,21.1
284,6818,9860,12.57
285,7366,2739,2.24
286,4924,1738,3.79
287,5328,9102,0.27
288,6715,4861,12.78
289,9943,1098,2.34
290,30,1488,4.39
291,1212,677,2.75
292,8473,998,11.38
293,3269,2671,21.81
294,825,1174,4.88
295,1343,1122,3.32
296,8301,7997,2.62
297,2199,3257,9.02
298,7555,2992,17.2
299,1012,3190,7.99
300,299,4340,5.19
301,2649,6081,8.62
302,8836,1520,20.1
303,9868,2253,3.25
304,3238,1524,7.41
305,1937,8570,1.26
306,1501,8011,1.37
307,2783,2912,10.18
308,6199,4307,3.2
309,5550,617,16.49
310,7742,9540,4.95
311,1809,7143,19.33
312,2931,3057,7.33
313,9427,3496,8.2
314,6589,8606,7.97
315,3583,1747,4.2
316,5470,8768,9.12
317,1554,2,20.37
318,6020,9865,8.88
319,6342,3259,25.06
320,4135,1391,8.82
321,5638,8741,4.77
322,4310,1202,6.25
323,8847,8905,3.94
324,9024,2606,1.46
325,2964,4788,20.51
326,9971,5095,1.57
327,2146,4687,9.33
328,3950,1419,9.04
329,3558,494,7.38
330,1923,6844,7.4
331,1256,8580,16.49
332,8869,5429,2.47
333,5576,1364,11.2
334,4666,3225,1.05
335,5351,1934,5.01
336,119,6654,5.34
337,828,2057,1.72
338,2589,8047,17.19
339,8781,6967,8.53
340,5572,6708,16.53
341,407,1553,15.8
342,3798,483,3.33
343,9060,6779,5.51
344,3227,5128,11.39
345,9993,1615,4.88
346,498,1773,4.48
347,8234,6487,4.97
348,2696,5172,3.39
349,6990,3863,3.09
350,9002,2888,29.73
351,375,9418,8.06
352,2664,9356,7.17
353,4225,4341,4.63
354,3139,692,8.99
355,6859,2366,14.46
356,4654,4911,4.53
357,1769,7605,12.14
358,2468,4567,7.74
359,4342,7355,8.23
360,2835,1608,7.36
361,4792,2485,0.38
362,25,5201,8.63
363,6751,8650,0.18
364,7146,7456,0.18
365,5442,4012,2.18
366,9343,6051,7.29
367,2089,42,17.22
368,3788,4606,18.26
369,9309,1735,13.08
370,1442,4100,17.65
371,6459,1423,3.69
372,9080,7560,23.23
373,2122,8377,9.74
374,5713,2598,16.78
375,8258,9191,11.21
376,8642,9533,4.87
377,1630,9377,31.32
378,5491,3412,6.11
379,8087,444,2.64
380,7911,410,17.79
381,488,5560,0.04
382,4398,9630,8.96
383,1899,5532,14.48
384,740,74,0.4
385,6185,9731,8.05
386,3062,9707,7.22
387,7338,8293,8.87
388,2078,1386,8.88
389,924,2053,12.11
390,866,2668,19.37
391,812,1610,20.52
392,5376,8331,4.48
393,5676,6768,12.96
394,1995,6368,2.0
395,1703,5125,5.28
396,7906,5727,7.69
397,947,3527,11.6
398,3082,7475,5.54
399,2392,7793,8.32
400,8780,2901,7.79
401,5844,8262,10.26
402,3148,8357,6.25
403,3678,6914,6.2
404,379,6582,16.75
405,2588,9739,3.92
406,7178,199,12.23
407,1150,77,2.4
408,9764,3606,7.04
409,3291,39,10.14
410,9543,7105,14.3
411,3712,17,2.23
412,1695,3696,9.46
413,4249,6958,8.39
414,1425,8706,3.91
415,3796,8641,0.48
416,7873,6919,5.83
417,7648,5292,13.0
418,8086,9259,10.5
419,9127,1517,8.23
420,2165,3711,2.02
421,9769,6494,0.44
422,4883,1418,2.36
423,9655,8626,5.33
424,3857,1799,9.43
425,3588,3133,1.98
426,2065,6551,11.24
427,8039,7915,9.94
428,9048,2386,2.27
429,3900,4431,8.99
430,7123,5782,3.95
431,9966,6155,4.68
432,125,8208,8.99
433,2823,845,11.84
434,5045,5599,0.45
435,5017,7139,7.81
436,8056,8769,15.09
437,9817,2869,0.5
438,7450,5147,16.13
439,8172,6315,7.7
440,9044,8377,3.08
441,7538,7238,1.87
442,9762,8623,13.96
443,559,2208,0.85
444,6868,4526,0.26
445,3009,8495,20.3
446,9472,4188,0.62
447,7667,8661,18.59
448,5563,5310,16.92
449,6903,3823,7.28
450,1989,5728,2.65
451,4744,9435,8.46
452,6160,1752,6.55
453,8583,4889,0.73
454,8149,8378,6.35
455,7768,6066,0.38
456,59,3483,11.43
457,1883,917,24.7
458,203,1322,18.02
459,1427,4048,7.21
460,7655,7759,2.06
461,1467,3469,2.72
462,3334,2700,13.74
463,2058,1749,4.42
464,6906,4298,0.95
465,7516,6046,8.28
466,7974,5174,12.73
467,1684,1581,4.34
468,7758,3046,14.7
469,9741,4883,15.97
470,6581,4249,15.56
471,7398,1303,5.32
472,5706,7862,8.32
473,1080,5844,4.05
474,7843,1926,5.52
475,6891,5148,11.18
476,8138,3361,6.18
477,5678,9108,4.54
478,4500,5840,8.06
479,5427,3379,3.45
480,1214,7004,13.75
481,5267,6889,16.72
482,2825,2333,12.99
483,5248,3239,8.64
484,7515,2547,4.69
485,1980,2836,3.71
486,8990,3927,6.78
487,6591,4015,0.5
488,9117,4181,0.73
489,1319,6965,0.74
490,3856,4083,2.16
491,1419,5282,13.09
492,8399,7411,2.11
493,2910,2227,1.68
494,1616,4534,2.32
495,6137,699,9.24
496,392,4173,2.35
497,2444,6108,19.7
498,7228,58,0.54
499,66,3627,9.64
500,149,5463,20.44
501,4251,409,1.38
502,2822,616,13.85
503,4643,4386,1.2
504,3735,8184,8.59
505,7256,6250,3.88
506,7928,9651,12.26
507,232,7798,19.7
508,3392,4737,12.92
509,3816,5618,22.91
510,3557,733,12.79
511,1425,3293,4.94
512,2648,3910,4.52
513,5932,3352,2.81
514,3057,324,3.96
515,555,7563,5.69
516,1405,5818,4.11
517,8623,6488,9.33
518,843,384,7.76
519,5899,7360,7.31
520,2801,1199,5.11
521,2175,3377,7.34
522,6177,8764,13.75
523,8875,291,11.72
524,3259,1020,6.64
525,4604,8956,10.22
526,2687,3254,8.01
527,7399,8240,6.42
528,3226,1658,15.42
529,9529,2100,2.19
530,8775,4597,12.85
531,528,1981,3.33
532,7880,1509,1.27
533,3256,7546,3.51
534,195,6529,6.77
535,3946,9268,4.59
536,441,8725,13.03
537,151,4391,2.99
538,696,7367,4.9
539,2757,1197,9.13
540,2880,2846,11.1
541,6707,7901,4.33
542,4910,7069,8.31
543,577,4928,17.14
544,8943,928,4.48
545,1691,8983,10.96
546,1937,1417,20.62
547,7392,2654,9.37
548,3806,2457,11.87
549,5659,8935,6.19
550,9734,45,6.71
551,8258,332,6.36
552,212,4081,10.34
553,1870,9169,22.0
554,2713,9661,10.54
555,410,4154,12.49
556,3410,378,6.91
557,4793,6099,1.18
558,129,8392,7.49
559,5335,6848,13.12
560,2608,7181,9.46
561,7664,3049,0.32
562,9811,6597,4.88
563,4558,2052,6.14
564,9667,1082,9.74
565,5900,9171,3.54
566,5770,7375,0.34
567,220,7951,9.07
568,9544,1543,7.04
569,6812,2993,20.2
570,6093,9793,11.73
571,7209,2582,0.15
572,2435,6890,1.19
573,4482,8640,4.52
574,1689,4151,4.78
575,2034,4110,1.52
576,222,9847,14.73
577,9750,9677,7.82
