10000,from,to,weight
0,4979,9979,5.54
1,6262,1753,1.89
2,791,7116,6.68
3,8939,8846,2.95
4,34,6780,8.8
5,7004,6799,1.47
6,7984,8932,1.76
7,6597,6443,4.68
8,2549,489,2.11
9,9001,953,6.11
10,836,6646,7.14
11,2862,1673,1.83
12,1950,3569,0.8
13,1351,3057,12.68
14,4787,9774,16.78
15,3191,5387,9.31
16,2557,9380,16.14
17,4729,475,13.23
18,8791,9101,0.91
19,5796,1698,3.46
20,6450,3568,9.6
21,9520,4932,0.18
22,82,5364,9.27
23,8753,3670,2.4
24,3191,8238,7.39
25,7122,4174,1.94
26,573,4148,9.65
27,7756,470,3.43
28,4832,3374,11.16
29,7540,2285,6.68
30,3220,3437,3.83
31,9338,78,5.63
32,4390,7974,11.78
33,3736,4342,11.92
34,5257,32,7.59
35,5702,6565,15.39
36,377,9718,11.56
37,7011,4633,10.87
38,829,1536,15.03
39,7958,9833,4.22
40,8146,4604,24.59
41,7726,2487,4.05
42,9985,8827,8.36
43,4092,5428,20.75
44,9245,2045,11.15
45,2279,5882,23.74
46,5866,5574,2.29
47,4175,697,0.99
48,6993,5591,5.46
49,9702,239,0.3
50,9442,3747,7.56
51,6240,3866,5.38
52,4743,5988,1.08
53,2603,3503,11.31
54,4830,4472,5.65
55,7062,7637,4.14
56,2019,608,15.07
57,1768,3050,15.92
58,944,9174,0.39
59,5698,1201,5.64
60,793,5238,6.98
61,8615,6434,9.41
62,9479,1135,6.85
63,1954,6715,3.95
64,5541,6272,5.52
65,8770,276,10.71
66,4521,4818,15.25
67,5027,7185,2.0
68,1009,5813,6.17
69,3065,9848,10.36
70,7508,5121,7.03
71,6911,5447,0.7
72,5412,4318,1.78
73,7975,2269,9.46
74,7826,9537,5.58
75,4725,8759,15.71
76,9324,9315,9.32
77,9802,2603,1.97
78,2291,5764,16.07
79,5821,1311,4.59
80,6017,7702,2.85
81,948,7856,16.25
82,5037,4291,1.93
83,7717,9202,9.37
84,4921,7111,7.67
85,2482,3261,12.64
86,7498,3083,0.68
87,8037,3726,18.29
88,3349,3044,13.78
89,4430,1855,1.17
90,6180,2569,1.22
91,5295,8701,3.7
92,2974,8549,11.1
93,2962,7653,4.37
94,2827,1325,6.79
95,4778,5443,5.01
96,3007,3355,5.09
97,7759,7164,7.18
98,1484,6731,9.97
99,4700,2648,5.24
100,65,5556,1.26
101,4376,7087,10.57
102,277,117,7.6
103,1660,4094,6.85
104,4292,616,7.82
105,2488,231,12.57
106,9049,9139,14.41
107,6378,2542,10.78
108,6351,6170,11.99
109,4880,8364,16.51
110,4694,4717,5.7
111,3496,9833,9.0
112,7930,7594,3.19
113,7216,4155,6.14
114,827,2657,7.7
115,7038,7818,0.07
116,718,1579,8.35
117,3249,722,20.02
118,1719,5548,1.1
119,1487,3403,12.43
120,7359,4132,8.06
121,749,2046,20.75
122,3016,1951,5.42
123,9698,8426,8.58
124,4723,8532,13.12
125,324,795,6.82
126,5586,3711,20.11
127,6838,9583,17.19
128,6942,2150,1.48
129,5776,2016,4.86
130,2578,6485,0.87
131,5238,6401,11.64
132,6041,2013,4.33
133,7990,4724,8.34
134,2610,7035,8.53
135,5797,1908,6.03
136,9093,5358,10.75
137,8873,3006,5.76
138,5840,4095,6.64
139,5683,4483,10.26
140,2146,4857,17.9
141,1684,7544,14.41
142,2900,7433,0.18
143,9543,1943,10.56
144,1555,4535,25.41
145,853,4040,10.5
146,277,5763,3.49
147,1522,624,8.25
148,31,4045,15.29
149,1211,621,12.46
150,1175,3504,8.27
151,1192,6449,7.43
152,1898,8616,3.37
153,6832,6480,18.03
154,2171,1892,15.44
155,9043,5117,1.77
156,1503,6304,5.13
157,9254,5084,6.14
158,102,7632,4.27
159,110,6883,4.64
160,2110,9892,14.97
161,1570,7818,7.4
162,8925,1601,4.81
163,4443,8686,6.37
164,4736,7636,17.75
165,8624,8417,1.24
166,4446,7144,9.2
167,2163,3423,8.44
168,9536,8115,5.01
169,9789,1072,12.5
170,4507,3755,8.38
171,8820,9978,1.64
172,6602,8445,0.76
173,6556,1669,2.63
174,4977,3111,3.29
175,2996,2208,1.69
176,9279,4907,4.14
177,969,9611,2.07
178,6036,394,1.62
179,9695,7260,11.43
180,4210,2823,2.62
181,4316,9470,7.07
182,7580,1340,2.51
183,6480,9613,3.09
184,8951,6195,19.37
185,1954,2630,2.54
186,3407,3941,3.36
187,2870,548,3.6
188,5392,7779,16.84
189,4131,3275,1.45
190,6415,9040,18.6
191,9772,6702,1.02
192,9211,998,9.04
193,2278,1882,1.65
194,1156,105,16.06
195,6033,1162,10.27
196,2228,7315,7.11
197,8586,856,5.53
198,2260,1297,11.27
199,3052,9056,0.43
