1000,from,to,weight
0,108,98,15.6
1,204,842,7.31
2,955,992,2.68
3,749,817,12.34
4,706,720,5.93
5,135,613,10.24
6,899,458,14.25
7,49,921,10.21
8,39,637,11.87
9,317,978,5.07
10,677,453,15.87
11,582,500,14.23
12,106,66,2.58
13,556,730,23.34
14,215,831,13.96
15,954,343,17.72
16,781,363,6.65
17,674,473,3.26
18,819,601,20.42
19,96,934,1.15
20,783,592,5.29
21,49,966,3.36
22,582,66,1.97
23,456,43,8.94
24,300,58,12.07
25,736,774,7.07
26,79,514,12.55
27,277,990,0.03
28,382,83,15.55
29,295,379,3.92
30,529,984,3.18
31,310,954,14.63
32,941,255,14.65
33,344,566,10.13
34,722,379,13.1
35,971,552,7.8
36,265,213,0.21
37,573,257,21.57
38,748,343,5.63
39,286,98,9.24
40,476,364,2.41
41,337,899,3.19
42,14,448,10.0
43,354,765,11.06
44,969,419,3.33
45,919,458,11.46
46,357,843,0.58
47,366,69,17.47
48,263,223,4.5
49,948,244,14.81
50,313,332,1.42
51,865,432,7.38
52,305,659,5.41
53,905,83,6.23
54,457,764,16.52
55,348,587,10.99
56,745,281,1.68
57,208,980,3.46
58,585,583,5.57
59,304,528,10.72
60,874,345,10.23
61,245,679,4.22
62,757,886,2.73
63,569,745,0.5
64,170,288,3.82
65,918,524,1.59
66,916,33,10.46
67,699,552,5.31
68,361,752,11.83
69,494,533,5.97
70,832,759,13.61
71,107,113,1.71
72,914,399,9.57
73,585,11,7.38
74,155,683,6.82
75,405,803,0.15
76,127,738,7.96
77,859,681,0.22
78,178,157,6.31
79,45,258,7.38
80,737,343,9.05
81,970,695,9.54
82,112,315,2.78
83,521,828,14.87
84,191,393,0.61
85,645,749,16.24
86,796,83,2.65
87,440,753,13.62
88,429,454,12.17
89,872,254,16.33
90,896,695,7.95
91,125,63,8.2
92,990,552,7.12
93,60,229,4.46
94,722,264,4.44
95,440,304,7.31
96,297,696,27.33
97,429,759,3.86
98,770,750,4.02
99,786,875,6.48
100,475,672,1.27
101,709,811,12.91
102,695,875,11.85
103,660,553,20.89
104,472,909,10.46
105,510,806,7.38
106,9,485,1.13
107,30,952,16.18
108,175,226,1.34
109,997,493,12.85
110,275,499,4.45
111,229,873,8.55
112,297,665,5.64
113,246,27,1.47
114,195,255,5.16
115,685,694,5.96
116,639,49,14.9
117,659,884,8.1
118,957,281,9.93
119,619,898,9.77
120,734,602,1.65
121,818,264,1.44
122,485,197,5.99
123,276,406,5.9
124,271,371,1.21
125,961,567,5.71
126,781,780,8.0
127,71,938,7.46
128,697,745,1.36
129,478,712,11.82
130,841,315,7.2
131,415,290,22.54
132,65,581,13.91
133,404,101,5.42
134,195,874,6.27
135,390,781,19.35
136,282,218,26.54
137,525,303,18.59
138,581,711,4.77
139,428,362,5.11
140,241,568,5.55
141,902,658,4.25
142,941,724,16.94
143,1,910,12.65
144,18,45,13.41
145,867,952,0.12
146,377,244,4.67
147,120,908,2.94
148,315,898,4.62
149,990,366,7.34
150,612,573,9.92
151,261,529,3.89
152,63,683,4.63
153,190,273,5.5
154,244,465,1.07
155,780,941,5.49
156,6,345,1.83
157,932,769,14.52
158,767,711,4.1
159,313,5,16.92
160,866,26,5.85
161,629,329,22.38
162,424,132,8.18
163,62,386,10.24
164,733,897,7.31
165,608,610,3.33
166,966,129,2.43
167,631,873,12.78
168,297,52,4.68
169,669,225,20.18
170,281,144,2.7
171,951,942,0.88
172,419,402,14.9
173,106,865,9.07
174,744,997,3.64
175,292,114,0.93
176,915,789,0.82
177,177,164,20.67
178,453,86,1.86
179,89,114,8.33
180,710,23,13.86
181,891,364,5.44
182,164,291,11.76
183,554,411,6.09
184,279,405,21.43
185,819,29,2.06
186,813,455,7.76
187,905,702,14.99
188,386,701,3.89
189,733,244,11.47
190,936,899,4.44
191,602,573,8.21
192,604,514,4.22
193,770,999,8.31
194,528,501,5.41
195,798,880,4.72
196,450,49,2.87
197,897,178,11.88
198,477,965,3.18
199,305,260,20.5
200,843,237,15.55
201,170,983,6.08
202,728,527,8.27
203,835,624,2.55
204,120,32,6.08
205,608,49,8.49
206,246,874,1.56
207,861,300,14.11
208,922,877,9.66
209,757,825,7.56
210,497,164,4.44
211,811,905,11.48
212,232,204,13.83
213,894,756,8.97
214,823,88,6.52
215,99,872,10.5
216,874,226,1.11
217,806,624,7.98
218,828,700,10.71
219,80,181,3.76
220,200,574,11.73
221,343,661,3.04
222,431,251,4.89
223,304,684,10.8
224,293,900,11.54
225,891,923,15.69
226,689,228,0.48
227,832,230,1.75
228,778,468,20.86
229,699,427,9.08
230,904,520,1.63
231,406,132,0.18
232,436,802,8.53
233,727,174,15.03
234,46,831,17.59
235,171,811,7.07
236,952,975,14.11
237,617,580,1.88
238,463,371,2.72
239,964,699,14.73
240,602,644,1.96
241,206,755,3.69
242,166,209,0.44
243,567,508,3.1
244,166,263,1.97
245,508,220,8.43
246,696,31,0.66
247,376,909,0.63
248,832,361,3.05
249,856,905,0.59
250,988,125,15.65
251,316,502,6.88
252,885,517,5.98
253,584,696,3.45
254,44,530,9.33
255,610,415,7.33
256,5,455,1.01
257,373,651,5.23
258,995,721,17.08
259,764,982,24.57
260,853,265,12.34
261,660,366,6.28
262,980,835,0.03
263,993,175,5.94
264,6,697,13.11
265,429,792,13.93
266,915,610,0.59
267,181,702,8.7
268,403,204,11.04
269,613,193,0.97
270,649,29,1.45
271,460,817,15.25
272,360,463,11.2
273,34,593,15.21
274,747,539,9.06
275,399,149,7.74
276,105,910,3.04
277,783,43,0.54
278,279,335,5.5
279,33,135,5.66
280,401,860,8.78
281,932,566,0.2
282,344,27,2.36
283,584,702,34.79
284,551,149,8.03
285,109,945,11.77
286,96,382,1.02
287,807,113,0.97
288,770,86,9.83
289,58,845,6.04
290,11,5,1.07
291,254,659,4.25
292,685,910,11.83
293,786,168,7.84
294,751,884,2.26
295,140,755,14.73
296,430,601,13.07
297,834,200,11.57
298,714,376,3.13
299,282,675,2.87
300,961,673,20.3
301,183,959,5.45
302,334,145,16.1
303,497,603,6.68
304,84,537,6.55
305,45,971,9.56
306,355,78,22.19
307,152,253,13.79
308,590,519,9.92
309,121,73,13.21
310,902,252,1.85
311,589,179,2.77
312,678,923,0.23
313,631,580,6.43
314,946,343,2.21
315,954,520,2.94
316,291,193,0.64
317,451,525,6.97
318,233,14,26.58
319,603,975,17.91
320,986,66,1.35
321,506,253,21.81
322,709,618,16.9
323,222,787,8.33
324,160,23,8.32
325,190,213,2.53
326,421,840,9.97
327,292,624,13.13
328,223,303,5.62
329,800,807,4.75
330,997,434,5.09
331,623,527,3.88
332,365,275,4.75
