25,from,to,weight
0,17,18,18.56
1,20,0,9.27
2,22,10,7.75
3,19,22,14.24
4,3,10,7.94
5,4,9,2.83
6,18,8,4.23
7,13,16,6.76
8,18,14,7.65
9,2,19,7.68
10,24,1,4.84
11,9,2,2.71
12,14,22,1.26
13,0,11,21.68
14,1,19,11.0
15,9,11,15.85
16,11,9,0.17
17,10,6,0.54
18,11,3,9.62
19,19,5,4.17
20,3,13,5.33
21,0,6,19.64
22,14,0,13.77
23,15,7,2.9
24,20,2,31.18
25,7,23,13.59
26,16,7,4.04
27,4,12,18.11
28,6,5,2.11
29,5,15,24.29
30,21,23,4.12
31,1,4,12.04
32,10,21,5.44
33,6,3,13.53
34,21,13,10.65
35,23,20,16.66
36,8,24,3.0
37,22,17,1.33
38,15,18,18.38
39,2,8,5.58
40,12,16,19.37
41,5,24,8.13
42,23,15,7.1
43,24,14,6.85
44,8,17,2.75
45,16,20,8.85
46,12,4,13.29
47,7,12,1.96
48,17,21,9.65
49,13,1,6.26
